time,ins1000_lat,ins1000_lon,ins1000_alt,ins1000_roll,ins1000_pitch,ins1000_yaw,ins1000_ned_x,ins1000_ned_y,ins1000_ned_z,algo_pose_x,algo_pose_y,algo_pose_z,algo_roll,algo_pitch,algo_yaw,align_pose_x,align_pose_y,align_pose_z,align_roll,align_pitch,align_yaw,align_roll_by_manual,align_pitch_by_manual,align_yaw_by_manual,algo_lat,algo_lon,algo_alt
1570519682,31.50815338,120.401696,719.2224611,-0.561195617,-0.197723544,-70.1032391,50.8255757,-4.673717756,-0.000294976,58.1720986,4.674712377,-0.658092461,0.936773677,5.027307456,63.91697389,52.61309113,9.893570917,-0.017676985,-0.561195617,0.197723544,75.87063279,0.589304383,5.025099604,70.31294218,31.50819853,120.4017565,11.91242494
1570519682,31.50815485,120.4016906,719.6349907,-0.439363324,-0.253896765,-73.01001476,50.98856733,-5.189536527,-0.007493273,58.28936949,5.21754088,-0.655118546,0.697846739,4.901453321,67.0479032,52.72342303,10.42315769,-0.010478689,-0.439363324,0.253896765,78.77740845,0.711136676,5.081272825,73.21971784,31.50820008,120.401751,11.91540029
1570519682,31.50815603,120.4016851,719.7896893,-0.680427365,-0.020914106,-75.71768101,51.11940421,-5.711054957,-0.010191776,58.41135058,5.770175531,-0.654045523,0.765927436,4.96078316,69.99810667,52.80119017,10.95518404,-0.007780186,-0.680427365,0.020914106,81.4850747,0.470072635,4.848290166,75.92738409,31.50820167,120.4017453,11.91647485
1570519682,31.50815729,120.4016792,719.7782301,-0.587391057,-0.167856248,-78.29413974,51.25911138,-6.271521012,-0.009990124,58.4839697,6.310502362,-0.659978892,0.621905174,4.6954115,72.73549501,52.88386887,11.52685223,-0.007981838,-0.587391057,0.167856248,84.06153343,0.563108943,4.995232308,78.50384282,31.50820281,120.4017397,11.91054263
1570519683,31.50815822,120.4016735,720.3970246,-0.464288044,-0.302846274,-80.48292924,51.36222878,-6.810138407,-0.020788739,58.55219697,6.857448308,-0.646531442,0.582898104,4.801838184,75.26324149,52.93233857,12.07310546,0.002816778,-0.464288044,0.302846274,86.25032293,0.686211956,5.130222334,80.69263232,31.50820392,120.4017341,11.92399123
1570519683,31.50815892,120.4016677,720.4715091,-0.724234244,-0.147364907,-82.49057376,51.43984408,-7.359205167,-0.022087502,58.60747874,7.416074871,-0.64291355,0.80916346,4.992848681,77.54755919,52.95438521,12.62719244,0.004115541,-0.724234244,0.147364907,88.25796745,0.426265756,4.974740967,82.70027684,31.50820492,120.4017283,11.92761023
1570519683,31.5081597,120.4016614,721.1017626,-0.360899292,-0.079444061,-84.31742548,51.52632981,-7.958618884,-0.033086082,58.63630517,7.977294478,-0.642534117,0.534314917,4.805303003,79.57063174,52.980198,13.23226292,0.015114121,-0.360899292,0.079444061,90.08481917,0.789600708,4.906820121,84.52712856,31.50820569,120.4017224,11.92799058
1570519683,31.50816025,120.4016554,721.6002359,-0.286677157,-0.078719842,-85.81759327,51.58731348,-8.529534335,-0.041784849,58.66495539,8.551219141,-0.639631283,0.774919314,4.768204204,81.31590254,52.98350163,13.80641669,0.023812888,-0.286677157,0.078719842,91.58498696,0.863822843,4.906095902,86.02729635,31.50820647,120.4017165,11.9308944
1570519683,31.50816101,120.4016482,721.938281,-0.439374823,-0.070485286,-87.24448701,51.67158174,-9.21064309,-0.047683219,58.68856473,9.163370757,-0.635275008,0.991930434,4.818555673,83.00821276,52.99889863,14.49254584,0.029711257,-0.439374823,0.070485286,93.0118807,0.711125177,4.897861346,87.45419009,31.50820723,120.4017101,11.93525172
1570519684,31.50816139,120.4016411,722.264867,-0.544014157,-0.081945598,-88.48434526,51.71371623,-9.888902049,-0.053381861,58.68647392,9.803362028,-0.632291358,0.881529258,4.76409873,84.43151959,52.97266152,15.17160558,0.0354099,-0.544014157,0.081945598,94.25173895,0.606485843,4.909321658,88.69404834,31.5082078,120.4017034,11.93823629
1570519684,31.50816183,120.4016335,722.9925234,-0.057233371,-0.169997973,-89.65151506,51.76250356,-10.60990842,-0.066080306,58.67628194,10.47707972,-0.630933448,0.638044667,4.757333295,85.66235106,52.94874789,15.89386491,0.048108345,-0.057233371,0.169997973,95.41890875,1.093266629,4.997374033,89.86121814,31.50820832,120.4016963,11.93959517
1570519684,31.5081621,120.4016255,723.6170474,0.106509324,-0.201958874,-90.66462008,51.79244163,-11.36796257,-0.076978756,58.65766336,11.18957985,-0.627407492,1.071264283,4.882319273,86.85310573,52.90235747,16.65109031,0.059006795,0.106509324,0.201958874,96.43201377,1.257009324,5.029334934,90.87432316,31.50820879,120.4016888,11.94312216
1570519684,31.50816221,120.4016172,724.0754136,-0.111563841,-0.147291569,-91.46650957,51.80463922,-12.15831478,-0.084977202,58.63452008,11.93810444,-0.618456731,1.336544896,4.96607196,87.93542364,52.83507074,17.43866754,0.067005241,-0.111563841,0.147291569,97.23390326,1.038936159,4.974667629,91.67621265,31.50820926,120.4016809,11.95207406
1570519684,31.50816269,120.401608,722.6773966,-0.235389591,0.019918305,-92.13926702,51.85786174,-13.0341617,-0.06057504,58.59117378,12.71751568,-0.61463576,1.272371478,4.95522941,88.75174172,52.8000099,18.31542931,0.042603078,-0.235389591,-0.019918305,97.90666071,0.915110409,4.807457755,92.3489701,31.50820958,120.4016727,11.95589614
1570519685,31.50816285,120.401599,723.3821347,0.202313232,0.013027914,-92.78762164,51.87560349,-13.88341034,-0.072873103,58.53773006,13.51676593,-0.613895656,0.964727978,4.713087914,89.54910453,52.73232076,19.16216198,0.054901142,0.202313232,-0.013027914,98.55501533,1.352813232,4.814348146,92.99732472,31.50820983,120.4016643,11.9566374
1570519685,31.50816277,120.4015899,723.9894699,-0.002819031,0.097192023,-93.32268006,51.86673449,-14.74975798,-0.083471233,58.49226952,14.35053556,-0.608704772,1.387526745,4.726716251,90.20798978,52.63643729,20.02323297,0.065499271,-0.002819031,-0.097192023,99.09007375,1.147680969,4.730184037,93.53238314,31.50821017,120.4016555,11.96182969
1570519685,31.50816265,120.4015806,724.7400446,-0.148268377,-0.175135136,-93.77650538,51.85343048,-15.63795432,-0.096569229,58.43330856,15.20010264,-0.604626457,1.440799045,4.620755126,90.84802783,52.53394567,20.90559638,0.078597267,-0.148268377,0.175135136,99.54389907,1.002231623,5.002511196,93.98620846,31.50821042,120.4016466,11.96590944
1570519685,31.50816267,120.4015711,725.2843545,0.508142785,-0.379135815,-94.09452264,51.85564952,-16.53659999,-0.106066946,58.35342543,16.06795224,-0.594593223,1.063913744,4.826295146,91.25631037,52.44584848,21.79991616,0.088094984,0.508142785,0.379135815,99.86191633,1.658642785,5.206511875,94.30422572,31.50821049,120.4016374,11.97594408
1570519685,31.50816291,120.4015611,724.5165911,0.409178926,-0.536140476,-94.26510078,51.88226179,-17.48844235,-0.092664192,58.30240963,16.95175341,-0.602061694,1.586391685,5.145386191,91.69699365,52.3766753,22.74961461,0.074692231,0.409178926,0.536140476,100.0324945,1.559678926,5.363516536,94.47480389,31.50821083,120.4016281,11.96847743
1570519686,31.50816272,120.4015516,725.0494418,0.115542415,-0.263151273,-94.40919857,51.86119651,-18.38803801,-0.101961835,58.23346482,17.83526987,-0.600354513,1.699816771,5.288904922,91.983218,52.26531619,23.64253972,0.083989874,0.115542415,0.263151273,100.1765923,1.266042415,5.090527333,94.61890169,31.50821101,120.4016188,11.9701864
1570519686,31.50816259,120.4015421,725.4447827,0.172315452,-0.049812957,-94.62015935,51.846784,-19.29238337,-0.108859284,58.15731556,18.71793676,-0.589417596,1.421981829,5.073919893,92.12752171,52.16009888,24.54085902,0.090887322,0.172315452,0.049812957,100.387553,1.322815452,4.877189017,94.82986239,31.50821113,120.4016094,11.98112516
1570519686,31.50816238,120.4015325,726.1495208,0.026298532,-0.242203732,-94.76587182,51.82350135,-20.20242842,-0.121156659,58.086974,19.60748484,-0.586051072,1.415939275,4.792993536,92.33772627,52.04548356,25.4439578,0.103184698,0.026298532,0.242203732,100.5332655,1.176798532,5.069579792,94.97557489,31.5082113,120.4016,11.98449373
1570519686,31.50816218,120.401523,726.9974984,0.042659585,-0.428016059,-94.90394363,51.80132757,-21.10392401,-0.135953924,58.00800093,20.50367128,-0.581745915,1.325407168,4.954500103,92.47739791,51.93283063,26.33866182,0.117981962,0.042659585,0.428016059,100.6713373,1.193159585,5.255392119,95.11364669,31.50821141,120.4015906,11.98880099
1570519686,31.5081622,120.4015131,727.0318758,-0.240276672,-0.448281023,-94.9190353,51.80354709,-22.04436714,-0.136550728,57.92073996,21.39408027,-0.572670463,1.318628545,5.120348722,92.67410186,51.84053368,27.27456753,0.118578767,-0.240276672,0.448281023,100.686429,0.910223328,5.275657083,95.12873839,31.50821143,120.4015812,11.99787859
1570519687,31.50816202,120.4015038,727.6793181,-0.13299235,-0.484301781,-94.99262304,51.78359097,-22.92781381,-0.147847779,57.81863784,22.26719978,-0.565081867,1.067769734,5.173013191,92.7860018,51.73190093,28.15153685,0.129875817,-0.13299235,0.484301781,100.7600167,1.01750765,5.311677841,95.20232609,31.5082113,120.4015719,12.00546927
1570519687,31.50816183,120.4014946,728.2637351,-0.081620913,-0.530888517,-95.13851902,51.76252611,-23.80366095,-0.158044745,57.72874773,23.12997406,-0.563995221,1.076911376,5.1369985,92.87310392,51.62292872,29.02083368,0.140072784,-0.081620913,0.530888517,100.9059127,1.068879087,5.358264577,95.34822209,31.50821128,120.4015628,12.00655818
1570519687,31.50816154,120.4014855,728.8825295,-0.375507075,-0.479538041,-95.24292252,51.73037346,-24.66905875,-0.168841722,57.64491864,23.98756201,-0.555070529,1.166300906,5.262881057,93.04668769,51.50397491,29.87861987,0.150869761,-0.375507075,0.479538041,101.0103162,0.774992925,5.306914101,95.45262559,31.50821131,120.4015537,12.0154853
1570519687,31.50816135,120.4014765,729.5242422,-0.155247212,-0.493991996,-95.38180483,51.70930871,-25.52780693,-0.180038516,57.54597897,24.8322446,-0.545654394,0.919187844,5.186563303,93.11911704,51.39672109,30.73090432,0.162066554,-0.155247212,0.493991996,101.1491985,0.995252788,5.321368056,95.59150789,31.50821118,120.4015447,12.02490379
1570519687,31.50816124,120.4014669,729.9023944,-0.073261388,-0.522510374,-95.27653769,51.69711439,-26.43310227,-0.186634931,57.45159564,25.67655253,-0.538294432,1.029256853,5.238586751,93.27501259,51.29361528,31.63039169,0.16866297,-0.073261388,0.522510374,101.0439314,1.077238612,5.349886434,95.48624079,31.5082111,120.4015358,12.03226626
1570519688,31.50816098,120.401458,730.5842141,-0.091016832,-0.661272147,-95.30872347,51.66828827,-27.28045118,-0.198531601,57.35670824,26.51042558,-0.533594925,1.076591463,5.213423435,93.32788399,51.17978489,32.47055463,0.18055964,-0.091016832,0.661272147,101.0761172,1.059483168,5.488648207,95.51842659,31.50821101,120.401527,12.03696834
1570519688,31.50816067,120.4014492,731.2832227,-0.332945646,-0.672975031,-95.46145831,51.63391828,-28.11830068,-0.210728246,57.26056023,27.33683063,-0.540741351,1.12451637,5.407313441,93.38902358,51.06139329,33.30070915,0.192756284,-0.332945646,0.672975031,101.228852,0.817554354,5.500351091,95.67116139,31.50821089,120.4015182,12.02982456
